21:15:30.665,1,SEND,1,821
21:15:31.664,1,SEND,2,790
21:15:31.665,1,RECEIVE,2,1118
21:15:31.763,2,SEND,2,813
21:15:32.663,1,SEND,3,815
21:15:32.763,2,SEND,3,801
21:15:32.764,2,RECEIVE,3,1400
21:15:32.863,3,SEND,3,734
21:15:33.663,1,SEND,4,783
21:15:33.663,1,RECEIVE,4,1478
21:15:33.762,2,SEND,4,727
21:15:33.862,3,SEND,4,794
21:15:33.863,3,RECEIVE,4,1510
21:15:33.962,4,SEND,4,732
21:15:34.663,1,SEND,5,774
21:15:34.762,2,SEND,5,772
21:15:34.763,2,RECEIVE,5,1522
21:15:34.862,3,SEND,5,771
21:15:34.962,4,SEND,5,820
21:15:34.963,4,RECEIVE,5,1703
21:15:35.63,5,SEND,5,809
21:15:35.663,1,SEND,6,761
21:15:35.663,1,RECEIVE,6,1842
21:15:35.762,2,SEND,6,728
21:15:35.862,3,RECEIVE,6,1725
21:15:35.863,3,SEND,6,779
21:15:35.962,4,SEND,6,788
21:15:36.62,5,SEND,6,790
21:15:36.63,5,RECEIVE,6,1998
21:15:36.163,6,SEND,6,796
21:15:36.663,1,SEND,7,755
21:15:36.763,2,SEND,7,740
21:15:36.763,2,RECEIVE,7,2093
21:15:36.863,3,SEND,7,784
21:15:36.963,4,RECEIVE,7,1962
21:15:36.963,4,SEND,7,726
21:15:37.62,5,SEND,7,806
21:15:37.163,6,RECEIVE,7,2009
21:15:37.163,6,SEND,7,788
21:15:37.262,7,SEND,7,769
21:15:37.662,1,SEND,8,733
21:15:37.663,1,RECEIVE,8,2212
21:15:37.763,2,SEND,8,806
21:15:37.862,3,SEND,8,800
21:15:37.863,3,RECEIVE,8,2414
21:15:37.962,4,SEND,8,735
21:15:38.62,5,SEND,8,723
21:15:38.63,5,RECEIVE,8,2191
21:15:38.162,6,SEND,8,758
21:15:38.263,7,RECEIVE,8,2153
21:15:38.263,7,SEND,8,737
21:15:38.363,8,SEND,8,731
21:15:38.662,1,SEND,9,786
21:15:38.762,2,SEND,9,787
21:15:38.764,2,RECEIVE,9,2373
21:15:38.863,3,SEND,9,737
21:15:38.962,4,SEND,9,744
21:15:38.963,4,RECEIVE,9,2394
21:15:39.63,5,SEND,9,772
21:15:39.163,6,RECEIVE,9,2310
