21:32:48,0,6.1,9.5,0,0
21:32:49,0,6.1,6.3,0,0
21:32:50,0,6.1,4.7,0,0
21:32:51,0,6.1,3.8,0,0
21:32:52,1,6.2,3.1,0,0
21:32:53,2,6.2,2.7,2,2
21:32:54,3,6.2,2.3,6,4
21:32:55,4,6.2,2.1,12,6
21:32:56,5,6.2,1.9,20,8
21:32:57,6,6.2,1.7,30,10
21:32:58,7,6.2,1.5,42,12
21:32:59,8,6.2,1.4,56,14
21:33:0,8,6.2,1.3,72,16
21:33:1,9,6.2,1.2,88,16
21:33:2,10,6.2,1.1,106,18
21:33:3,11,6.3,1.1,126,20
21:33:4,12,6.3,1.1,148,22
21:33:5,13,6.3,1.0,172,24
21:33:6,14,6.4,1.0,198,26
21:33:7,15,6.7,0.9,226,28
21:33:8,16,7.0,0.9,256,30
21:33:9,17,7.1,0.8,288,32
21:33:10,18,7.1,0.8,322,34
21:33:11,18,7.4,0.8,358,36
21:33:12,19,7.8,0.7,394,36
21:33:13,20,7.8,0.7,432,38
21:33:14,21,7.8,0.7,472,40
21:33:15,22,7.8,0.6,514,42
21:33:16,23,7.9,0.6,558,44
21:33:17,24,7.9,0.6,604,46
21:33:18,25,7.9,0.6,652,48
21:33:19,26,7.9,0.6,702,50
21:33:20,27,7.9,0.5,754,52
21:33:21,28,7.9,0.6,808,54
21:33:22,28,7.9,0.5,864,56
21:33:23,29,8.0,0.5,920,56
21:33:24,30,8.0,0.5,978,58
21:33:25,31,8.0,0.5,1038,60
21:33:26,32,8.0,0.6,1100,62
21:33:27,33,8.0,0.5,1164,64
21:33:28,34,8.0,0.6,1230,66
21:33:29,35,8.0,0.6,1298,68
21:33:30,36,8.0,0.6,1368,70
21:33:31,37,8.0,0.6,1440,72
21:33:32,38,8.0,0.6,1514,74
21:33:33,38,8.0,0.6,1590,76
21:33:34,39,8.0,0.6,1666,76
21:33:35,40,8.0,0.6,1744,78
21:33:36,40,8.1,0.6,1824,80
21:33:37,40,8.1,0.6,1904,80
21:33:38,40,8.1,0.6,1984,80
21:33:39,40,8.1,0.6,2064,80
21:33:40,40,8.1,0.6,2144,80
21:33:41,40,8.1,0.6,2224,80
21:33:42,40,8.1,0.6,2304,80
21:33:43,40,8.1,0.6,2384,80
21:33:44,40,8.1,0.6,2464,80
21:33:45,40,8.1,0.6,2544,80
21:33:46,40,8.1,0.6,2624,80
21:33:47,40,6.7,0.7,2704,80
21:33:48,40,5.5,0.7,2784,80
21:33:49,40,5.5,0.7,2864,80
21:33:50,40,5.5,0.7,2944,80
21:33:51,40,5.5,0.7,3024,80
21:33:52,40,5.5,0.7,3104,80
21:33:53,40,5.5,0.7,3184,80
21:33:54,40,5.5,0.7,3264,80
21:33:55,40,5.9,0.7,3344,80
21:33:56,40,6.2,0.8,3424,80
21:33:57,40,6.3,0.8,3504,80
21:33:58,40,6.3,0.8,3584,80
21:33:59,40,6.3,0.8,3664,80
21:34:0,40,6.4,0.8,3744,80
21:34:1,40,6.4,0.8,3824,80
21:34:2,40,6.4,0.8,3904,80
21:34:3,40,6.4,0.8,3984,80
21:34:4,40,6.4,0.8,4064,80
21:34:5,40,6.4,0.8,4144,80
21:34:6,40,6.4,0.8,4224,80
21:34:7,40,6.4,0.8,4304,80
21:34:8,40,6.5,0.8,4384,80
21:34:9,40,6.5,0.8,4464,80
21:34:10,40,6.5,0.8,4544,80
21:34:11,40,6.5,0.8,4624,80
21:34:12,40,6.5,0.8,4704,80
21:34:13,40,6.5,0.8,4784,80
21:34:14,40,6.5,0.7,4864,80
21:34:15,40,7.0,0.8,4944,80
21:34:16,40,7.3,0.8,5024,80
21:34:17,40,8.0,0.8,5104,80
21:34:18,40,8.0,0.8,5184,80
21:34:19,40,8.0,0.8,5264,80
21:34:20,40,8.0,0.8,5344,80
21:34:21,40,8.0,0.8,5424,80
21:34:22,40,8.0,0.8,5504,80
21:34:23,40,8.0,0.8,5584,80
21:34:24,40,8.0,0.8,5664,80
21:34:25,40,8.0,0.8,5744,80
21:34:26,40,8.1,0.8,5824,80
21:34:27,40,8.1,0.8,5904,80
21:34:28,40,8.1,0.8,5984,80
21:34:29,40,8.1,0.8,6064,80
21:34:30,40,8.1,0.8,6144,80
21:34:31,40,8.1,0.8,6224,80
21:34:32,40,8.1,0.8,6304,80
21:34:33,40,8.1,0.8,6384,80
21:34:34,40,8.1,0.8,6464,80
21:34:35,40,8.1,0.8,6544,80
21:34:36,40,8.1,0.8,6624,80
